periodo,serie,valor
202308,Var_mensual_ventas_en_supermercados,1.5
202309,Var_mensual_ventas_en_supermercados,-3.4
202310,Var_mensual_ventas_en_supermercados,7.4
202311,Var_mensual_ventas_en_supermercados,-2.1
202312,Var_mensual_ventas_en_supermercados,10.3
202401,Var_mensual_ventas_en_supermercados,-25.7
202402,Var_mensual_ventas_en_supermercados,1.7
202403,Var_mensual_ventas_en_supermercados,13.7
202404,Var_mensual_ventas_en_supermercados,-7.8
202405,Var_mensual_ventas_en_supermercados,1
202406,Var_mensual_ventas_en_supermercados,2.1
