periodo,serie,valor
202307,Empalme_IPCBA_nivel_general,372.82
202308,Empalme_IPCBA_nivel_general,413.08
202309,Empalme_IPCBA_nivel_general,462.47
202310,Empalme_IPCBA_nivel_general,505.82
202311,Empalme_IPCBA_nivel_general,565.99
202312,Empalme_IPCBA_nivel_general,685.4
202401,Empalme_IPCBA_nivel_general,834.2
202402,Empalme_IPCBA_nivel_general,951.99
202403,Empalme_IPCBA_nivel_general,1077.95
202404,Empalme_IPCBA_nivel_general,1183.17
202405,Empalme_IPCBA_nivel_general,1234.95
202406,Empalme_IPCBA_nivel_general,1294.53
202407,Empalme_IPCBA_nivel_general,1360.55
202408,Empalme_IPCBA_nivel_general,1417.46
